Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Goals_per_Match,Goals_per_90,Assists_per_Match,Assists_per_90,Goal_Contribution_per_90
Romain SaIss,Wolverhampton Wanderers,MAR,DF,30,27,27,2407,3,0,0.1111111111111111,0.11217282924802659,0.0,0.0,0.11217282924802659
Daniel Podence,Wolverhampton Wanderers,POR,"MF,FW",24,24,22,1661,3,2,0.125,0.1625526791089705,0.08333333333333333,0.10836845273931367,0.27092113184828415
Willy Boly,Wolverhampton Wanderers,CIV,DF,29,21,21,1879,1,1,0.047619047619047616,0.04789781798829164,0.047619047619047616,0.04789781798829164,0.09579563597658328
Rayan Ait Nouri,Wolverhampton Wanderers,FRA,DF,19,21,16,1404,1,1,0.047619047619047616,0.06410256410256411,0.047619047619047616,0.06410256410256411,0.12820512820512822
Max Kilman,Wolverhampton Wanderers,ENG,DF,23,18,14,1310,0,1,0.0,0.0,0.05555555555555555,0.06870229007633588,0.06870229007633588
Willian Jose,Wolverhampton Wanderers,BRA,FW,28,17,12,1110,1,0,0.058823529411764705,0.08108108108108109,0.0,0.0,0.08108108108108109
fabio silva,Wolverhampton Wanderers,POR,FW,18,32,11,1369,4,3,0.125,0.26296566837107377,0.09375,0.19722425127830534,0.46018991964937916
Raúl Jiménez,Wolverhampton Wanderers,MEX,FW,29,10,10,823,4,0,0.4,0.43742405832320774,0.0,0.0,0.43742405832320774
Fernando Marcal,Wolverhampton Wanderers,BRA,DF,31,13,7,623,0,0,0.0,0.0,0.0,0.0,0.0
Jonny Castro,Wolverhampton Wanderers,ESP,DF,26,7,7,495,0,0,0.0,0.0,0.0,0.0,0.0
Ki-Jana Hoever,Wolverhampton Wanderers,NED,DF,18,12,5,577,0,0,0.0,0.0,0.0,0.0,0.0
Vitinha,Wolverhampton Wanderers,POR,MF,20,19,5,520,0,1,0.0,0.0,0.05263157894736842,0.17307692307692307,0.17307692307692307
Morgan Gibbs-White,Wolverhampton Wanderers,ENG,"FW,MF",20,11,4,414,1,0,0.09090909090909091,0.21739130434782608,0.0,0.0,0.21739130434782608
Owen Otasowie,Wolverhampton Wanderers,USA,"MF,FW",19,6,2,187,0,1,0.0,0.0,0.16666666666666666,0.48128342245989303,0.48128342245989303
